StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing,FL_5_DO_FL_14,FL_5_DO_FL_15,FL_5_DO_FL_16,FL_5_DO_FL_17
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"INFORMATION AND CONSENT FORM



Study Title: Multi-cultural investigation of the Mental Accounting effect

Researcher: Caroline Roux

Researcher’s Contact Information: caroline.roux@concordia.ca

Project Leader: Enrico Rubaltelli

Project Leader’s Contact Information: jdmlab.multicountry@gmail.com

Source of funding for the study: N/A



You are being invited to participate in the research study mentioned above. This form provides information about what participating would mean. Please read it carefully before deciding if you want to participate or not. If there is anything you do not understand, or if you want more information, please ask the researcher.



A. PURPOSE

- The purpose of this research is to replicate previous studies that investigated the mental accounting effect.



B. PROCEDURES

- If you participate, you will be asked to answer questions about various scenarios, financial literacy, and demographic information.

- You understand that you will not need to provide any identifying information in this study.

- In total, participating in this study will take 15 minutes.



C. RISKS AND BENEFITS

- You understand that there are no known risks associated with participating in this study. Participants who have completed similar studies in the past did not report any adverse effects.

- You will not receive any compensation for participating in this study. This research is not intended to benefit you personally.



D. CONFIDENTIALITY

- We will gather the following information as part of this research: your answers to the study’s questions. We will not allow anyone to access the information, except people directly involved in conducting the research. We will only use the information for the purposes of the research described in this form.

- You understand that your participation in this study will be anonymous. This means that it will not be possible to make a link between you and the information you provide.

- We will protect the information by restricting the access to the dataset to the members of the research team only. Data will be stored on Qualtrics’ servers, password-protected computers, and password-protected cloud services. Note that privacy cannot be guaranteed for data files uploaded to cloud services located on U.S. or European servers as they are subject to the USA Patriot Act, General Data Protection Regulation, and other local privacy laws.

- We intend to publish the results of the research. However, it will not be possible to identify you in the published results.

- We will securely store your anonymous information after the end of the study for possible replication of the findings or secondary use of your anonymous data in the future.



F. CONDITIONS OF PARTICIPATION

- You do not have to participate in this research. It is purely your decision and you can stop at any time. Should you wish to withdraw your participation during the study, simply stop answering the questionnaire and your incomplete data will be removed from the dataset. Should you wish to withdraw your participation by the end of the study, you will be able to indicate as such in the last question of the questionnaire. Note that you cannot withdraw your participation once you have completed and closed the study because your recorded data will be anonymous; we will thus be unable to remove your recorded data from the dataset.

- You will not be offered any compensatory indemnity for participating in this research.

- There are no negative consequences for not participating, stopping in the middle, or asking us not to use your information.



G. PARTICIPANT’S DECLARATION

I have read and understood this form. I have had the chance to ask questions and any questions have been answered. I agree to participate in this research under the conditions described.","Person A was given two tickets to the lottery. They won $150 with one ticket and $50 with the other ticket.  



Person B was given a ticket to one lottery. They won $200.  


 

Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is $15 but this ticket has been offered to you by a friend for free.   



You want to get rid of the extra ticket and you know the ticket’s face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is $15 but this ticket has been offered to you by a friend for free.   



You want to get rid of the extra ticket and you know the ticket’s face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.



What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay $15 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted $15","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay $15 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay $15 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for $450 and a Bluetooth speaker for $50. The salesman informs you that the speaker you wish to buy is on sale for $30 at the other branch store, located 20 minutes away.



Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is $15 which is what you paid for each ticket.



You want to get rid of the extra ticket and you know the ticket's face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is $15 which is what you paid for each ticket.



You want to get rid of the extra ticket and you know the ticket's face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a stranger,"Person A received a fine and owed $300. The same day they received a second fine and owed $150.



Person B received a fine and owed $450.

Who is more upset?","Imagine that you are on your way to a music event and intend to buy a ticket worth $140. On entering the venue, you realize that you have lost $140 in cash.



Would you still pay $140 for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth $50, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of $50 and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.



What do you think is the most appropriate thing to do?","Person A bought a lottery ticket and won $300. Also, they damaged one door in their apartment in an accident and had to pay the landlord $250.  

 

Person B bought a lottery ticket and won $50.  

 

Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is $15 but you paid $30 for each ticket when you bought them from another person.



You want to get rid of the extra ticket and you know the ticket’s face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is $15 but you paid $30 for each ticket when you bought them from another person.



You want to get rid of the extra ticket and you know the ticket’s face value price is $15. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was $30 instead? - If they are a stranger,"You are about to purchase a jacket for $50 and a Bluetooth speaker for $450. The salesman informs you that the speaker you wish to buy is on sale for $430 at the other branch store, located 20 minutes away.



Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you $700 a year (i.e., roughly $15 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted $15","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you $700 a year (i.e., roughly $15 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you $700 a year (i.e., roughly $15 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does each of the following statements capture your feelings about the cost of the missed workout? - I feel like I wasted something, but no specific amount or measure comes to mind","Person A damaged their car in a parking lot. They had to spend $550 to repair the damage. The same day they damaged the car they won $50 in a raffle.  

 

Person B damaged their car in a parking lot. They had to spend $500 to repair the damage.  

 

Who is more upset?","Imagine that you are on your way to a music event with a ticket for which you have paid $140. On entering the venue, you discover that you have lost the ticket.



Would you pay $140 for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth $50, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of $50 and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.



What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.



What price do you tell them?","Suppose that you have $100 in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year,
how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?","To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.


How serious have you been about filling in the survey?",What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your net (after tax) annual household income last year?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	
 	
 
●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	
 ●	Demographic data (e.g. gender, age or income level)	

 
Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted.",FL_5 - Block Randomizer - Display Order - FL_14,FL_5 - Block Randomizer - Display Order - FL_15,FL_5 - Block Randomizer - Display Order - FL_16,FL_5 - Block Randomizer - Display Order - FL_17
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_14""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_15""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_16""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_17""}"
2022-09-14 03:01:32,2022-09-14 03:13:17,0,100,705,1,2022-09-14 03:13:19,R_qI4svyd7HJzdeoh,anonymous,EN,1,1,3,0,0,0,0,5,1,1,5,1,15,15,30,30,1,2,2,1,15,15,30,30,1,4,1,5,2,2,2,5,1,3,2,1,4,2,35,4,30,31,7,1,3,1,4,2
2022-09-14 03:03:06,2022-09-14 03:20:04,0,100,1017,1,2022-09-14 03:20:06,R_2Bs7bZRmyUl0RcL,anonymous,EN,1,1,1,0,0,0,0,6,3,3,3,2,15,15,15,15,3,2,2,1,15,15,30,30,2,4,2,4,2,2,2,6,2,4,3,4,3,2,51,4,19,31,7,1,1,3,2,4
2022-09-14 03:37:29,2022-09-14 03:45:40,0,100,490,1,2022-09-14 03:45:40,R_1oAnqXkhBEGtmkQ,anonymous,EN,0.8999999761581421,1,3,15,15,30,30,10,5,1,5,2,15,15,30,30,3,1,2,3,15,15,30,30,2,5,1,5,3,1,1,5,1,3,2,1,5,2,41,6,13,31,7,1,3,2,1,4
2022-09-14 04:06:11,2022-09-14 04:15:13,0,100,541,1,2022-09-14 04:15:13,R_2ATl2x0BiwXZv6k,anonymous,EN,1,1,3,15,20,30,35,15,1,5,5,2,10,15,20,30,2,2,2,2,30,30,30,30,1,4,4,1,2,2,3,5.00,1,4,2,4,4,2,34,5,14,31,7,1,4,3,1,2
2022-09-14 04:44:02,2022-09-14 04:57:53,0,100,830,1,2022-09-14 04:57:53,R_23WbTMCF6J4iDv1,anonymous,EN,0.8999999761581421,1,1,0,15,0,30,10,1,5,5,2,0,15,0,30,1,1,2,2,15,15,15,30,2,1,5,5,2,2,2,3,1,3,2,2,3,2,38,6,20,31,7,1,1,4,3,2
2022-09-14 04:55:08,2022-09-14 05:03:20,0,100,492,1,2022-09-14 05:03:21,R_11c1EDEKH2d7eQS,anonymous,EN,1,1,2,0,0,0,0,10,1,5,5,2,0,15,0,30,3,2,1,2,0,30,0,30,2,3,2,1,1,2,1,10,1,3,2,1,4,2,50,6,18,31,7,1,1,3,4,2
2022-09-14 05:06:45,2022-09-14 05:17:26,0,100,640,1,2022-09-14 05:17:27,R_3PSSiJCiWo84Gfd,anonymous,EN,1,1,1,0,15,0,30,10,3,3,3,1,15,15,15,30,1,2,1,1,30,30,30,30,1,5,1,5,2,2,1,5,1,3,2,4,5,2,54,6,15,31,7,1,3,1,2,4
2022-09-14 05:06:50,2022-09-14 05:21:23,0,100,872,1,2022-09-14 05:21:25,R_31BDtUudxV5NvGM,anonymous,EN,1,1,1,0,15,0,30,15,1,5,4,2,0,15,0,15,1,2,2,2,0,30,0,30,2,4,3,1,2,1,3,10,1,3,2,1,5,1,40,6,17,31,7,1,2,3,4,1
